%%%%%%%%                  %%%%               %%%%%%   %%%%%%%
%%%%%%%%%                 %%%%               %%%%%%     %%%%%
%%%%%%%%%%                %%%%               %%%%%%          
%%%%%%%%%%%               %%%%               %%%%%%          
%%%%%%%%%%%               %%%%               %%%%%%          
%%%%%%%%%%%%              %%%%               %%%%%%          
%%%%%%%%%%%%              %%%%%              %%%%%%          
%%%%%%%%%%%%              %%%%%              %%%%%%          
%%%%%%%%%%%%%             %%%%%              %%%%%%          
%%%%%%%%%%%%%             %%%%%              %%%%%%          
%%%%%%%%%%%%%             %%%%%%             %%%%%%          
%%%%%%%%%%%%%             %%%%%%             %%%%%%          
%%%%%%%%%%%%%             %%%%%%%            %%%%%%          
%%%%%%%%%%%%%             %%%%%%%%           %%%%%%          
%%%%%%%%%%%%%             %%%%%%%%%%%%%%%%   %%%%%%          
%%%%%%%%%%%%              %%%%%%%%%%%%%%%%   %%%%%%          
%%%%%%%%%%%%              %%%%%%%%%%%%%%%%   %%%%%%          
%%%%%%%%%%%%              %%%%%%%%%%%%%%%    %%%%%%          
%%%%%%%%%%%%              %%%%%%%%%%%%%      %%%%%%          
%%%%%%%%%%%%              %%%%%%%%%%%        %%%%%%          
%%%%%%%%%%%%              %%%%%%%%%%         %%%%%%          
%%%%%%%%%%%               %%%%%%%%           %%%%%%          
%%%%%%%%%%%               %%%%%%             %%%%%%          
%%%%%%%%%%%               %%%%%              %%%%%%          
%%%%%%%%%%                %%%%               %%%%%%          
%%%%%%%%%%                %%%                %%%%%%          
%%%%%%%%%%                %%%                %%%%%%          
%%%%%%%%%%                %%%                %%%%%%          
%%%%%%%%%                 %%%                %%%%%%          
%%%%%%%%%      %%         %%%                %%%%%%          
%%%%%%%%%      %          %%%                %%%%%%          
%%%%%%%%      %%          %%%                %%%%%%          
%%%%%%%%     %%%          %%%                %%%%%%          
%%%%%%%%     %%           %%%                %%%%%%          
%%%%%%%     %%%           %%%                %%%%%%          
%%%%%%%     %%            %%%                %%%%%%          
%%%%%%     %%%            %%%                %%%%%%          
%%%%%%     %%             %%%                %%%%%%          
%%%%%%    %%%             %%%                %%%%%%          
%%%%%     %%              %%%                %%%%%%          
%%%%%     %%              %%%                %%%%%%          
%%%%%    %%               %%%                %%%%%%          
%%%%     %%               %%%                %%%%%%          
%%%%     %%               %%%                %%%%%%          
%%%     %%                %%%                %%%%%%          
%%%   % %%                %%%                %%%%%%          
%%%   % %%                %%%                %%%%%%          
%%   %%%%                 %%%                %%%%%%          
%%   % %%                 %%%                %%%%%%          
%    % %%                 %%%                %%%%%%          
%   %% %                  %%%                %%%%%%          
%   % %%                  %%%                %%%%%%          
   %% %%                  %%%                %%%%%%          
   %  %%                  %%%                %%%%%%          
   % %%                   %%%                %%%%%%          
  %% %%                   %%%                %%%%%%          
  %  %%                   %%%                %%%%%%         %
 %%  %                    %%%                %%%%%%         %
 %  %%                    %%%                %%%%%%        %%
 %  %%                    %%%                %%%%%%        %%
%   %                     %%%                %%%%%%        %%
%  %%                     %%%                %%%%%%       %%%
   %%                     %%%                %%%%%%       %%%
 . %%                     %%%                %%%%%%      %%%%
 .%%                      %%%                %%%%%%      %%%%
. %%                      %%%                %%%%%%      %%%%
. %%                      %%%                %%%%%%     %%%%%
.%%                       %%%                %%%%%%     %%%%%
.%%                       %%%                %%%%%%     %%%%%
%%                        %%%                %%%%%%    %%%%%%
%%                        %%%                %%%%%%    %%%%%%
%%                        %%%                %%%%%%   %%%%%%%
%                         %%%                %%%%%%   %%%%%%%
%                         %%%                %%%%%%   %%%%%%%
                          %%%                %%%%%%  %%%%%%%%
                          %%%                %%%%%%  %%%%%%%%
                          %%%                %%%%%%  %%%%%%%%
                          %%%                %%%%%% %%%%%%%%%
                          %%%                %%%%%% %%%%%%%%%
                          %%%                %%%%%% %%%%%%%%%
                          %%%                %%%%%%%%%%%%%%%%
                          %%%                %%%%%%%%%%%%%%%%
                          %%%                %%%%%%%%%%%%%%%%
                         %%%%                %%%%%%%%%%%%%%%%
                        %%%%%                %%%%%%%%%%%%%%%%
                       %%%%%%                %%%%%%%%%%%%%%%%
                     %%%%%%%%                %%%%%%%%%%%%%%%%
                   %%%%%%%%%%                %%%%%%%%%%%%%%%%
                  %%%%%%%%%%%                %%%%%%%%%%%%%%%%
                %%%%%%%%%%%%%                %%%%%%%%%%%%%%%%
              %%%%%%%%%%%%%%%                %%%%%%%%%%%%%%%%
             %%%%%%%%%%%%%%%%                %%%%%%%%%%%%%%%%
             %%%%%%%%%%%%%%%%                %%%%%%%%%%%%%%%%
             %%%%  %%%%%%%%%%                %%%%%%%%%%%%%%%%
                      %%%%%%%                %%%%%%%%%%%%%%%%
                       %%%%%%                %%%%%%%%%%%%%%%%
                       %%%%%%                %%%%%%%%%%%%%%%%
                        %%%%%                %%%%%%%%%%%%%%%%
                        %%%%%                %%%%%%%%%%%%%%%%
                         %%%%                %%%%%%%%%%%%%%%%
                         %%%%                %%%%%%%%%%%%%%%%
                         %%%%                %%%%%%%%%%%%%%%%
                         %%%%                %%%%%%%%%%%%%%%%
                         %%%%                %%%%%%%%%%%%%%%%
                          %%%                %%%%%%%%%%%%%%%%
                          %%%     %%%        %%%%%%%%%%%%%%%%
P                         %%%     %%%%%%     %%%%%% %%%%%%%%%
